molecule_chembl_id,canonical_smiles,standard_value,activity_class,MW,LogP,NumHDonors,NumHAcceptors,TPSA,pIC50,ADV_affinity
CHEMBL115653,CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C,58.0,active,436.55300000000034,1.9895999999999991,2.0,5.0,110.26000000000002,7.236572006437063,-8.7
CHEMBL45162,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(OCc3ccccc3)cc2)C(=O)NO)cc1,8.0,active,572.7490000000003,5.118400000000004,2.0,7.0,105.17,8.096910013008056,-9.1
CHEMBL126923,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccccc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,12.0,active,485.6050000000004,5.404900000000005,1.0,4.0,74.68,7.920818753952375,-11.3
CHEMBL127138,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nc2n(c1=O)CCCCC2,3.8,active,498.04800000000046,5.363300000000006,1.0,6.0,77.12,8.42021640338319,-11.2
CHEMBL341249,O=C(O)[C@@H]1[C@@H](S(=O)(=O)c2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,512.0,active,523.9980000000003,4.065200000000003,1.0,7.0,119.22,6.29073003902417,-12.8
CHEMBL47728,CSCC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.2,active,436.59900000000016,3.6274000000000015,2.0,5.0,86.71000000000001,9.69897000433602,-6.6
CHEMBL75094,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,0.2,active,423.5160000000001,2.264,2.0,7.0,108.83,9.69897000433602,-8.1
CHEMBL126461,O=C(NO)C(CCn1nnc2ccccc2c1=O)CSc1ccc(-c2ccc(Cl)cc2)cc1,0.5,active,480.9770000000002,4.415900000000002,2.0,7.0,97.11,9.30102999566398,-11.7
CHEMBL338877,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1c(=O)nc2ccccn2c1=O,30.0,active,507.9990000000003,4.448300000000005,1.0,7.0,93.67,7.522878745280337,-11.3
CHEMBL126977,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccccc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,76.0,active,457.55100000000033,5.221300000000004,1.0,4.0,74.68,7.119186407719209,-11.6
CHEMBL127168,N#Cc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4c(=O)nc5ccccn5c4=O)[C@@H]3C(=O)O)cc2)cc1,31.0,active,498.56400000000014,3.6665800000000015,1.0,8.0,117.46,7.508638306165727,-9.5
CHEMBL339588,O=C(O)[C@@H]1[C@@H](Cn2nnc3ccccc3c2=O)CC[C@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,3.0,active,492.0000000000002,5.383600000000005,1.0,6.0,85.07999999999998,8.522878745280337,-10.9
